id,dialogue,summary
13729992,"Mom: Where are you? 
Anne: I am getting my blood tested! 
Mom: For your acne? 
Anne: Yes : ( 
Mom: Poor you
Mom: I will cook something delicious for you
Anne: Thanks mom! 
Anne: I will be tonight then! 
Mom: be waiting at home! 😚",Anne is doing blood tests for her acne. Mom will cook something special for her.
13728468,"Barry: Can u pick me up from the station?
Mira: When?
Barry: 17:45.
Mira: I can be there at 18:00. You wait?
Barry: Yes. I'll do some shopping meanwhile. ",Mira will pick Barry from the station at 18:00. He will arrive at 17:45 and do some shopping meanwhile.
13717324,"Ken: Fucking retard!
Steve: I told you he's a prick!
Willy: So now, what?
Ken: No idea, I suppose I need to get a lawyer.
Steve: <file_gif>
Willy: OK, calm down.
Ken: Easy to say...
Willy: What happened exactly?
Ken: He didn't pay me the last two months, he has some financial issues, but I don't care. I want my money, I fuckin' earned it!
Steve: Motherfucker!
Willy: I told you, he's a piece of shit, you should go to court!
Ken: I will! I'm just afraid it'll cost a fortune!
Steve: You need to fight for your right!
Willy: ... to moooooney!
Ken: NOT FUNNY.
Steve: Come on! You'll have our back!",Ken is mad at him because he did not pay him the last two months. He wants to get a lawyer but is afraid it will cost a lot. 
13729496,"Conor: You know Jill?
Carson: Jill yeah wb her?
Conor: I think she is hitting on me
Conor: Every time I talk to her she gives very strong eye contact
Carson: She's ok you can go for her
Conor: I don't like her tho 
Carson: haha omg 
Carson: Well bro ignore her
Conor: Thats what I will do",Conor thinks Jill is hitting on him as she gives him a lot of eye contact. Conor doesn't like her and will ignore her as Carson advised him to do.
13810604,"Angie: How are you?
Sara: tired.....
Angie: after the holidays?!
Sara: Yeah, how much can you eat?!
Angie: Haha I get it
Angie: we decided to break with tradition and had sushi on Christmas Eve
Sara: sushi...
Angie: You hungry? :D
Sara: a little bit :D",Sara is hungry after the holidays. Angie had sushi at Christmas Eve. 
13821184,"Mel: Hi, we should start looking for a replacement for john
Gordon: That won't be easy
Mel: but we don't have a choice, the sooner we start, the better
Tony: I am not sure we have no choice
Tony: I was thinking the other day that we could offer him a new contract
Mel: I don't think he wants to work here anymore
Tony: Because he doesn't expect we could pay him more
Mel: but maybe we could find sb for the same money
Tony: You've just written that it won't be easy
Gordon: and the recreation and training won't be cheap
Mel: So what should we offer him?
Tony: 35% pay rise, something significant 
Mel: ok, we can try, I've always been happy with his work
Gordon: Mel, prepare a draft of a contract and I'll talk to John tomorrow",Mel will prepare a draft of a contract for John. Gordon will talk with him about their offer of a 35% pay rise.
13730517,"Jack: have you seen the gas prices?!
Jerry: i know, it's ridiculous
Jack: i think we should say hello to our bikes again
Jerry: or just walk everywhere lol","Jack and Jerry think that the gas prices are ridiculous, so they consider walking or riding their bikes again."
13728532,"Joel: hey steve, did you watch the champions league match
Steven: i did actually xD man your team can take a hit
Joel: damn :3 i was talking about your team tho
Steven: hey my team played well actually
Joel: i know right
Steven: you guys are in danger man
Joel: yea i know, but i think we'll qualify
Steven: yeah you still have a match left
Joel: lets hope rashford does his job this time -_- smh
Steven: haah xD","A team supported by Joel didn't do well in the last champions league match and Steven claims that the team may not qualify. However, Joel is optimistic and hopes that Rashford does better in the remaining match."
13611775,"Clarisse: Hi, have you got the photos from Mark's and Mary's wedding?
Kate: No, why?
Clarisse: I was just wondering. I think they will be amazing!
Kate: I hope so! Mark said they should be ready by next Tuesday.
Clarisse: Will they invite us over or just send them via messenger?
Kate: Hard to say but since they're gone on their honeymoon, I would guess - messenger.
Clarisse: OK, when you know more, please tell me! I'm dying here :D
Kate: No wonders, you danced with this amazing guy, didn't you?
Clarisse: Nate, yes... LOL, we'll see if we caught the photographer's eye haha. Nate certainly caught mine. ;)
Kate: Keeping my fingers crossed then!","Mark and Mary will send their wedding photos by next Tuesday. Clarisse wants to see if she has any photos with Nate, an attractive guy she danced with."
13727943,"Rick: How’s everything? Got any plans for the New Years Eve this year?
Martin: Hello, actually really good! Are you fishing for a party to crash? Same as you do each year, haha?
Rick: Haha, not this time. I’m renting a house for 20 people and looking for my old buddies to engage. How does that sound to you?
Martin: Hmmm, that might just be a pinpoint idea. What’s the location of that ‘mansion’ :D?
Rick: It’s located in the middle of nothing, in the mountains. Forrest, total alienation from the human mankind :P You might even miss mobile reception. 
Martin: Nice, I think I will be joining you. Might I bring some guests with me as well?
Rick: Ok, you are very welcome. I’ll send you an invite for the event on Facebook. I’ll post the details there
Martin: Awesome. I’d never thought, that you might destroy my plans of sitting at home and pretending not to care about the whole New Year’s stuff.
Rick: Haha, what do you mean?
Martin: You know, resolutions such as picking up new hobbys, losing weight, joining the gym etc.
Rick: LOL, you gotta be joking. But it’s always a good idea to start a diet after Christmas though!
Martin: You sound a bit like an oversensitive girl :P 
Rick: Anyway, let’s just have fun before we reach the age of reason and dullness!
Martin: Well said, well said! Send me that invite on Facebook and then it’ll be all clear.
Rick: I will! Gotta go, let’s keep in touch, mate! ","Rick invited Martin for his New Year's Eve party. Rick is renting a house for 20 people in the mountains. Although Martin planned sitting at home then, he will join Rick."
13612220,"Drew: Any news yet?
Alan: No, they are still thinking.
Drew: you think they might go with the other offer?
Alan: It's possible, but ours is better I think. We did give them similar conditions, but we did waive home inspection. And gave them short closing.
Drew: Question is if they are eager to make a short transaction. home inspection was genious however.
Alan: I know, we'll be ripping the place to studs anyway. 
Drew: and we budgeted quite a large contigency for surprises. And we do want considerable structural changes.
Alan: we do. 
Alan: they should make a decision soon. 
Drew: I hope so. not knowing makes me crazy...",Alan and Drew are waiting for a decision about the house. Alan feels their offer is better. 
13716765,"John: party tonight?
Kevin: i'm afraid I'm busy the whole day
John: waaaat you gotta be kidding
Josh: same as Kevin, I'm not home until tomorrow
John: :(
John: another time then",They are not going to party tonight because Kevin and Josh are busy.
13865125,"Matt: What are you doing tonight?
Brian: were watching RuPaul Drag Race
Matt: who's going to be there?
Alex: bunch of people
Jackie: Mark with Armin for sure
Alex: So at least 3 of us and them
Matt: ok, so maybe I'll join you too
Brian: nice!","Matt, Brian, Alex, Jackie, Mark, Armin, and some other people are watching RuPaul Drag Race tonight."
13680212,"Nadine: <file_photo>
Nadine: Shar Peis
Donna: I nearly got one of those. A family across my road have 2 of them.  Lovely dogs
Donna: <file_photo>
Donna: That my Treacle. Had Stafford’s for years, she’s 1 years old. Good your a dog person 🐾
Nadine: Love them my babies xx lol
Donna: Can’t beat dogs, their ace. Better than humans 🐶
Nadine: Too true I've just adopted the fat one lol and yesterday they were playing and knocked over my kilts..  Molly decided to have a good sniff now her nose is yellow
Nadine: <file_photo>
Nadine: Now I can't get her clean lol
Nadine: Lilys I meant lol
Donna: The fat one lol 🤣 I thought kilts? Must be a local custom thing
Nadine: Lol.. no just Morris dancing
Donna: Can’t beat a bit of that. Could be worse, you could live in Nottingham!!One day hope to move back to Cornwall
Nadine: Really I was in Tintagel for 4 years I loved it","Nadine owns two Shar peis. Donna owns a Staffordshire Bull Terrier. Lately, one of Nadine's dog got it's nose dirty while playing and knocked over kilts Nadine uses for Morris dancing. Nadine used to live in Tintagel for 4 years and enjoyed it."
13810526,"Sean: haha listen
Sean: such a coincidence
Alicia: ??
Sean: remember Patrick from high school?
Alicia: yeah
Sean: so my mum wants to buy new furniture for the house
Sean: super fancy and perosonalized
Alicia: yeah I remember
Sean: and she found this oldschool workshop where they can create anytjing you want
Sean: and guess who's the owner!!
Alicia: If it's not Patrick it's a really bad story
Sean: yes it's Patrick!!!
Alicia: and you asked for a discount?
Sean: of course I did
Alicia: you douchebag","Sean's mum was looking for new furniture and found an oldschool workshop. The owner is Patrick, whom Sean knows from high school. Sean asked for a discount. "
13716961,"Charlie: guys I had this idea of bookcrossing at the office so feel free to bring any book you want to get rid of
Odo: cool I have some I'd like to give away :)
Rebecca: so nice of you!
Stan: cool I think I'll find sth
Salvador: k","Charlie shares the idea of bookcrossing in the office with his colleagues. Odo, Stan and Salvador will bring something. Rebecca likes the idea. "
13681535,"Tony: Geez Carol, stop being so loud, I can hear you from across the office!
Carol: Sod off Tony! You're even louder, especially when Megan passes by :P
Tony: No way, I'm not loud at all :P
Carol: I think Carol would disagree, I've overheard that she pointed it out to Johnson as well
Tony: RU kidding me?
Carol: I'm dead serious Tony, you'll soon find out",Tony and Carol are sometimes too loud at the office.
13812844,"Alfie: hey I've almost forgotten
Alfie: that mum has birthday this weekend!!!
Mia: that's true
Mia: <file_photo>
Alfie: I have no idea what to give her :P
Mia: I was thinking about some nice SPA treatment
Mia: so together we could take more expensive one :D
Alfie: phew, it sounds like a perfect idea!
Alfie: just let me know how much I owe you
Mia: <file_gif>",Alfie and Mia's mother has birthday this week. They will buy her a SPA treatment.
13810215,"Sheridan: Did you see that pink fridge?
Elias: Yes. Vomit!
Sheridan: What WAS she THINKING???
Elias: She wasn't!
Sheridan: Fashion victim!
Elias: A fridge isn't fashion!
Sheridan: Don't care. It's still horrid.
Elias: I'm not sure pink and gray are the in thing, you know?
Sheridan: Remember when it was in in the 80s?
Elias: Uh, how can I forget?
Sheridan: Gray is in but with pastels? Vom!
Elias: <file_photo>
Sheridan: ARE YOU KIDDING????
Elias: LOL!
Sheridan: My eyes! My eyes!
Elias: Some people like it!
Sheridan: Not this people! LOL!
Elias: Yeah, I got that!
Sheridan: Anyway, can't unsee that.
Elias: LOL! Brain bleach!",Sheridan and Elias are criticising her pink fridge. 
13814190,"Willie: <file_other>
Willie: have you seen it?:D
Sara: awww…that is incredible!
Sara: how old are BSB right now?
Willie: idk, like 100 yo?
Willie: <file_gif>
Sara: the song sounds good, totally stiil their style :D
Sara: but they look oldish XD
Willie: well I think they're all abot 40
Willie: apart from Nick XD
Sara: thanks for the link, I'll listen to it later
Willie: always at your service :D","The BSB's new song is coherent with their style. It is good. The members are about 40 years old, except Nick. Sara will listen to the song later."
13862343,"Emily: Viiic lsiten
Emily: Eric invited me to go skiing with him!
Victoria: hi Em, great news! 🙂
Emily: ikr?
Emily: but listen, he invited me for the WHOLE WEEK
Victoria: that's huge, are you going?
Emily: I've heard he invited his best friend with his girlfriend
Emily: So it's gonna be his friend plus one, and Eric plus ME 😉
Victoria: omg when is the wedding
Emily: stahp
Emily: i'm very excited tho
Victoria: I understand, now, are you sleeping together in one room?
Emily: he told me he booked one room with four single beds.
Victoria: and what is this place?
Emily: some place close to Karpaty, he goes there every year with his family
Victoria: sounds legit
Emily: you're not very excited
Victoria: im just worried about you, but i guess you'll be fine
Emily: don't act like my mum lol
Victoria: ok, you got my blessing haha
Victoria: keep me posted 😉
Emily: I will! ","Eric invited Emily to go skiing with him for the whole week. Eric also invited his friend with his girlfriend. Eric booked one room with four single beds. It is a place near Karpaty, where Eric goes with his family every year. "
13820641,"Chris: What does it mean ""embarquement""? Nobody speaks English here
Nancy: boarding, so be careful not to miss this one
Daniel: haha, poor Chris!
Chris: thx","Chris doesn't know what ""embarquement"" means. Chris can't find a person who speaks English where he is."
13611378,"Sandra: may i ask why have you taken my hat?!
Ursula: i needed this one for my outfit
Sandra: your is exactly the same
Ursula: no, my has got pink flowers and your has purple
Sandra: so no difference.
Ursula: sometimes i just cant believe u r my sis
Sandra: me too","Ursula took Sandra's hat because she needs it for her outfit. Ursula's hat is not exactly the same, it has pink flowers, whereas Sandra's got purple ones. "
13681719,"Matija: No snow, you are spreading fake news.
Sandra: The weather app said so :(
Matija: There is some frost on the cars, not much more.","It isn't snowing, despite the weather forecast."
13863050,"Gail: :P
Paul: :O
Gail: Hi :)
Paul: Oh... so you're no longer mad at me?
Gail: I never was, you know I like to pretend I'm angry ;)
Paul: You were fucking with me as usual :P
Gail: Don't be vulgar
Paul: Or...?
Gail: Or?
Paul: Or you'll get mad at me again?
Gail: Oh come on now
Paul: :P
Gail: You know I like you
Paul: Yeah yeah yeah
Gail: You're worse than my spinster aunt :P
Paul: Oh, now I understand who you got your evil woman genes from :P
Gail: Hah!
Paul: Ok, just kidding
Gail: I would hope so!
Paul: ;)
Gail: Heh
Paul: Wanna go out tonight, eat a pizza or something?
Gail: Are you hitting on me?
Paul: Yep
Gail: Now that was unexpected
Paul: Nah, just kidding
Gail: :'( You just broke my heart
Paul: Srsly?!?
Gail: Nah :P :D",Paul jokingly invites Gail to a date tonight.
13716664,"Ken: Racing on Sunday?
Damien: Sure! But I heard it's gonna rain:(
Barry: I'll check but I'm pretty sure you're thinking Saturday
Damien: You think so? 
Ken: Oh man, no please, I need some sport action my dudes!
Damien: haha we can bike in the rain:D no problem
Barry: What the hell:D I'm down too","Ken, Damien and Barry will go cycling on Sunday even if it rains."
13818882,"Ingmar: hi guys I'll be visiting London this week so please give me some recommendations on restaurants and places that locals like
Kevin: I'm not going out much but my favorite place is Dino's pizza place at Bottom Alley 50
Miranda: Soho is great but it's expensive as fuck
Xiao: Mimi Creperie is mindblowing, especially if you love French sweets
Ingmar: cool thx","Ingmar's coming to London and asks for recommendations. Kevin recommends him Dino's pizza, Xiao Mimi Creperie."
13728221,"Ava: Hey, have you started shopping for xmas yet?
Isabella: Hey! Ah! No! I have been so busy lately I don't even have the time to think about it.
Ava: Yeah, I feel ya. This year, I want to get everyone really nice gifts.
Isabella: Ha, well don't we all.
Ava: Yeah, but something that is actually really thoughtful and useful.
Isabella: Mmm, yeah yeah, sometimes I feel like I'm just buying someone unnecessary crap just because I'm obligated to get em a gift. 
Ava:  Exactly, and I don't really want to do that.
Isabella: Ha, well then good luck with that.
Ava: Well, I just thought, everyone always has things that they would need
Isabella: I dunno, I think my mom has absolutely everything she could ever need.
Ava: So then maybe with people that have everything, or so you think they do, you make them something yourself, get creative, ya know?
Isabella: THAT IS SO MUCH WORK
Ava: ha, well yeah, who would have thought gifts should be thoughtful
Isabella: mm no I feel you, I hate going to the mall
Ava: especially now during the holiday season
Isabella: my solution for that: ONLINE SHOPPING 
Ava: yeah, that can be better instead of walking around a million stores, but I don't really like online shopping either 
Isabella: How come?
Ava: Because I like to see what I'm buying, and you just never know what something will actually be like in real life
Isabella: Yeah, that could be the problem with clothes, but usually other stuff seems fine for me
Ava: Yeah, I guess it just depends. But anyway, I'm writing because I wanted to ask you if there was anything specific you'd like this year. I don't want to buy you something random that you don't need. So let me know if there is anything specific you need and I would be really excited to get it for you.
Isabella: Haha there will be no surprise then! But no, I feel ya, that's really thoughtful. Yeah, I will let you know for sure. 
Ava: Thanks a lot!",This year Isabella and Ava want to buy nice and useful gifts. Ava doesn't want to spend too much time on it. Isabella's solution is online shopping.
13817933,"Joanne: You've seen this? :D
Joanne: <file_photo>
Hannah: hahahhaah, priceless <3",Joanne sends Hannah a picture.
13827912,"Francis: are you comign tomorrow?
Derrick: for the training?
Francis: yeah
Derrick: no, the elbow isn't fine yet
Francis: ok see you another time
Derrick: ok","Derrick is not coming for the training tomorrow, because his elbow isn't fine yet."
13716463,"Lindsey: Oh goodness, Ive been having so much work recently...
Lindsey: Im tired and nervous all the time.
Sandra: Yeah, I know what its like. 
Eveline: maybe you should have a holiday?
Eveline: go somewhere nice, even just for a few days.
Lindsey: Id love to, but probably I cant.
Lindsey: my boss wouldnt even give me one day off :/
Sandra: yep, work in accounting has never been easy.
Sandra: during some periods its just impossible to have a vacation.
Eveline: I couldnt do that kind of job, really.
Eveline: I prefer to earn a bit less, but not to be stressed all the time.
Sandra: everybody can choose
Eveline: exactly.
Lindsey: Ok, bye for now girls! Gotta get back to work...
Sandra: bye, Lindsey! Take care! :*",Lindsey complains about her stressful job. Eveline advises she take a holiday. Lindsey's boss wouldn't let her do it due to busy period.
13864601,"Nina: I'm leaving. sorry, not feeling well
Ted: I see, take care
Jim: see you tomorrow
Nina: see you",Nina is leaving because she is not feeling well.
13611629,"Kevin: Sorry, I couldn't talk, I had a driving lesson.
Henry: Ahh, wait, you still take them?! I thought maybe you blew them off after driving like Michael Schumacher in Italy.
Kevin: No, I still need to improve my skills a bit to feel safer and more confident. Are you in Paris? Is Paris burning?
Henry: Yes :D I arrived and saw a room and am not sure about it.
Kevin: Oh
Henry: This is why I wanted to ask you.
Kevin: Why?
Henry: for life advice!
Kevin: tell me
Henry: It's an OK-ish room, but a bit dark with window to a courtyard. In winter it can be a bit depressing.
Kevin: Light is important. Is it expensive?
Henry: Paris is super expensive. Usually you pay 800 euro for a room, this one is 400 only.
Kevin: Any other problems with the room?
Henry: Yes, I have to go outside the apartment to get to the toilette.
Kevin: Oh, this is literally pretty shitty. But for this price...
Henry: I think the question is: Am I still a student looking for a good deal and a quick solution? Or am I a serious person, wanting a serious room, even if a little bit more expensive and difficult. 
Kevin: Is the location at least good?
Henry: It is not in the city centre, but OK. It is the area I can expect, I mean more central is really unrealistic. 
Kevin: I would see some other options before the final decision. You have just arrived, after all.
Henry: You are right. I am just so lazy. But you are very right, unfortunately. ",Kevin wants to improve his driving skills so he is taking lessons. Henry claims Paris is expensive. Henry found a room half the usual price for 400 euros but it doesn't seem to be good enough. Kevin encourages him to keep looking. 
13611416,"Bret: Did you see the Bears score on Sunday? It was a good game but same old same old!
Julie: I did! Can you believe they scored that last TD? Talk about a miracle!
Bret: I no – this team could be so much better if they didn’t have such a lousy running game.
Julie: Yeah…",Julie and Bret discuss the Bears game they both saw on Sunday.
13682230,"Becky: Hey, what’s up?
Fabio: Not much.. just a little tired from the weekend.
Becky: Yeah? What did you do?
Fabio: Well.. I cleaned the apartment Saturday morning, then studied for an exam in the afternoon. Then I cooked dinner for six people. A few relatives were visiting on Saturday, so...
Becky: Wow you've been busy. What did you cook?
Fabio: Oh, simple stuff... pasta, some tacos, a salad...
Becky: Italian and Mexican... Always good.
Fabio: Yeah, it was good, but I went to bed at three in the morning. And then Sunday, at 8AM, my friend called me to talk about the exam.
Becky: You went to bed at 3 and woke up at 8? Uhh...
Fabio: Yep 😅 I just got up and went to the library and studied all day. When I got home, it was almost midnight. So I’m kinda tired.
Becky: When is your exam?
Fabio: Tomorrow, 7AM.
Becky: Well, I wish you the best of luck!
Fabio: Thanks!",Becky had a busy weekend and studied for her exam that is tomorrow at 7AM.
13819649,"Lia: are you at the canteen?
Maria: Yes, queuing already to pay
Tom: me too
Lia: ok, I'll join you",Lia will join Maria and Tom at the canteen.
13814933,"Lisa: Do you have anything for a headache?
Amy: are you seriously texting me instead of coming to my room and asking in person?
Lisa: yes
Lisa: I'm dying
Amy: let me check
Amy: I do
Lisa: Plese come and hurry
Amy: haha perhaps it has something to do with the amount of vodka in your system
Lisa: shut up
Amy: coming :*",Lisa has a terrible hangover. She needs painkillers. Amy supposes the pain is caused by the alcohol. She will bring the pills.
13863064,"Holly: Look, if you can't make it, at least have the decency to write the guy an email explaining why, because I'm tired of listening to him go on about how we're all doing badly...
Penelope: Well tell him I cannot send anything to him right now due to an extremely difficult situation that he will soon learn about, if he hasn't already.
Holly: why can't you send it to him via mail?
Penelope: ... because I am in a different country with no books, no laptop
Holly: no internet?
Holly: i know you're in Berlin, just send him an email
Holly: saying that you won't be here
Penelope: Ok.
Holly: thanks,  he was just really getting on my nerves.
Holly: And i hope things sort out well for you x
Penelope: Thanks.",Holly needs Penelope to send him an email that she won't be here. Penelope is in Berlin and has a limited access to books and a laptop.
13717151,"Mags: How was your photo session?
Rachel: Awesome!
Rachel: Thanks for the present, Mags
Josh: We really appreciate it
Rachel: Yes, a great idea!
Mags: I'm glad 
Mags: When do you get to see the photos?
Rachel: She said she would send a few in a couple of days
Rachel: Then we'll choose 5 or 6 and she'll finish them off
Mags: Will you give me a shout when they're ready?
Mags: I would like to see them
Rachel: Sure!
Mags: thanks :) 
Josh: Thanks, Mags!","Rachel and Josh had a photo session. It was a present from Mags. They will see the photos in a few days, then they'll choose 5 or 6 and the photographer will finish them off."
13820568,"Oswold: ok so i made this group to gather you in one place and keep you updated
Oswold: so the first thing is that the tomorrow meeting starts at 9am and i'd like to ask you to be punctual
Oswold: another, strictly organisational stuff will be discussed tomorrow. if you have any questions you can ask them here
Sabrina: hey, i've got a question. could you more or less tell us sth about the subjects of the meeting?
Oswold: well, mainly the structure of the institution, the rules and surely health and safety instructions
Tabby: how long will it last?
Oswold: about 2 hours. but i'm not sure yet
Sonia: I'm afraid I will have to go out after an hour and a half...
Sonia: i'm working
Oswold: ok, you're excused then
Oswold: you will be given some extra materials then, just to keep up with the others
Sonia: ok, thanks
Oswold: and also, please, prepare your id's tomorrow, cause we will be signing contracts
Sonia: ok
Toby: sure","Tomorrow's meeting starts at 9 AM sharp and ends at about 11 AM. It will be about structure and rules of the institution, also health and safety guidelines. Sonia will have to leave at 10:30. Oswold will give her some extra materials. They are also going to sign the contracts so IDs will be needed."
13729951-1,"Harry: <file_video> 
Gia: Is that you when you were young xd
Harry : ye playing soccer at 3 already 
Gia: Omg that's why u so talented
Harry: 😄",Harry played soccer when he was 3 years old.
13829414,"Barb: Happy birthday Aunt Melanie!
Melanie: thank u sweetie!!!
Melanie: i don't really celebrate my birthday anymore, though
Melanie: but thanks for remembering
Barb: of course! you're my favorite aunt
Barb: you've always been there when i've needed you
Barb: and for that i'm grateful <3
Barb: are you REALLY not celebrating your birthday?
Melanie: ur uncle matt will get a cake and some ice cream
Melanie: maybe watch a movie, and that's it!
Barb: that sounds great if you ask me
Barb: i'm jealous, you'll be having cake while i'm studying for a test
Melanie: you're right, it's not that bad sweetie!
Melanie: i hear your uncle matt pulling in, i'll text you tomorrow
Barb: ok!!",It's Melanie's birthday. Uncle Matt will buy a cake and some ice cream for this occasion. Barb is studying for a test. 
13820910,"Tom: hi guys, we're thinking about renting a car for a few days
Tom: and have a small trip somewhere over the weekend
Tom: wanna participate?
Jerry: It's super cheap now, like 30€ for 5 days
Amanda: that's really nothing
Amanda: when do you want to do this?
Alexis: I'd be interested for sure
Tom: we thought about the first weekend of January
Alexis: for me it's perfect, no plans here really
Amanda: I'd like to join as well
Amanda: any ideas where we want to go?
Tom: we thought about some thermal baths
Amanda: wow, how exciting
Amanda: let's do it!","Tom, Amanda and Alexis are going for a short trip to some thermal baths for the first weekend of January. They're going to rent a car, which should cost them about 30€ for 5 days."
13717208,"James: I have a proposal for you all
Nicky: hoho sounds interesting:D I'm all ears
Nicky: Or all eyes in this case lol
Carrie: What's up James;D don't keep us hanging like that:D
James: I have an offer actually. I am in need for a wedding date
James: and you are my closest girlfriends:D
Nicky: Ooooh that's cute:D
James: No joke here:D you two are so funny, and any other friends I have are hella boring 
Nicky: I'm deeply flattered 
Carrie: Same here!
Carrie: But you gotta choose:D
James: The thing is, this wedding is this weekend
Carrie: You joking right:D?
Nicky: That's kinda last minute invite
James: I know! But I totally forgot, and only you can save me. I guarantee fun and lots of booze, and a sleepover
Nicky: Sleepover? Where is this wedding at?
James: Well, seaside, but they got me a hotel room, and I am gonna pay for your ticket
Carrie: I can't man, Tom is so not gonna let me go:D
Nicky: hahaha of course he won't, so possessive of you:D
Carrie: blah blah:d little jealous
Nicky: I'll go, I don't have any big plans whatsoever
James: Really??? You are saving my life","James needs a date for a wedding this weekend, he asked Nicky or Carrie to join him. Nicky is going to go to the wedding with him."
